symbol,atomic_number,atomic_radius,atomic_volume,boiling_point,density,dipole_polarizability,electron_affinity,valance_main,evaporation_heat,fusion_heat,group_id,lattice_constant,melting_point,period,series_id,specific_heat,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,en_allen,heat_of_formation,c6,covalent_radius_bragg,covalent_radius_slater,vdw_radius_batsanov,vdw_radius_uff,vdw_radius_mm3,abundance_crust,abundance_sea,en_ghosh,vdw_radius_alvarez,c6_gb,atomic_weight,atomic_weight_uncertainty,is_monoisotopic,atomic_radius_rahm,covalent_radius_pyykko_double,discovery_year,mendeleev_number,dipole_polarizability_unc,pettifor_number,glawe_number,magp_column,magp_electron_affinity,magp_atomic_volume,magp_atomic_masses,magp_valence_d,magp_valence_s,magp_T_melt,magp_electronegativity,magp_unfilled_f,magp_valence_p,magp_unfilled_d,magp_valence_f,magp_row,magp_unfilled,magp_valence,magp_T_boil,magp_magnetic_moment,magp_cohesive_energy,magp_density,magp_covalent_radius,magp_polarizability,imat_electron_affinity,imat_electronegativity,imat_electron_binding_energy,imat_atomic_radius,imat_valence,imat_cohesive_energy,imat_ionization_energy,ase_magnetic_moment,pymg_atomic_radius,pymg_electronegativity,ionization_energy,pseudo_POMASS,pseudo_ZVAL,pseudo_ENMAX,pseudo_ENMIN,pseudo_RCORE,pseudo_RWIGS,pseudo_EATOM,pseudo_RPACOR,pseudo_RCLOC,pseudo_EAUG,pseudo_RMAX,pseudo_RAUG,pseudo_RDEP,pseudo_RDEPT,pseudo_DEXC,pseudo_IUNSCR,pseudo_s_occ,pseudo_p_occ,pseudo_d_occ,pseudo_f_occ,pseudo_avg_orbital_energy,pseudo_min_orbital_energy,pseudo_max_orbital_energy,pseudo_avg_proj_energy,pseudo_num_projectors
Pb,82,175.0,18.3,2013.0,11.35,47.0,0.35674316,4.0,177.8,4.77,14.0,4.95,600.65,6,7,0.159,35.3,202.0,146.0,144,1.8,10.97,195.2,0.0,0.0,0.0,230.0,429.7,274.0,14.0,3e-05,0.177911,260.0,534.0,207.2,0.1,0,249.0,135.0,0.0,91,3.0,82.0,82.0,14.0,35.0,30.34142301,207.2,10.0,2.0,600.61,2.33,0.0,2.0,0.0,14.0,6.0,4.0,28.0,2022.0,2.0,2.03,11340.0,1.46,6.995,35.0,2.33,18.1,147.0,4.0,2.03,7.4166,2.0,1.8,2.33,7.4166796,207.2,4.0,97.973,73.48,3.1,3.26,96.9868,2.2,0.0,234.873,3.158,1.3,3.202,2.659,0.0,1.0,0.0,0.0,0.0,0.0,-8603.991773333333,-88091.8466,-3.4971,-6.1825875833333335,6.0
Bi,83,170.0,21.3,1883.0,9.747,48.0,0.942362,5.0,172.0,11.0,15.0,4.75,544.5,6,7,0.124,7.9,207.0,148.0,151,1.9,11.9,209.6,0.0,148.0,160.0,230.0,437.0,266.0,0.0085,2e-05,0.182377,254.0,513.0,208.9804,1e-05,True,250.0,141.0,0.0,97,4.0,87.0,92.0,15.0,91.0,35.48345908,208.9804,10.0,2.0,544.4,2.02,0.0,3.0,0.0,14.0,6.0,3.0,29.0,1837.0,3.0,2.18,9780.0,1.48,0.4,91.0,2.02,23.8,146.0,5.0,2.18,7.2855,3.0,1.6,2.02,7.285516,208.98,5.0,105.037,78.777,3.0,3.09,150.8133,2.2,0.0,265.427,3.067,1.3,3.012,2.604,0.0,1.0,0.0,0.0,0.0,0.0,-8871.978086666668,-90639.6582,-4.5702,-8.162702283333333,6.0
Po,84,176.0,22.7,1235.0,9.32,44.0,1.9,6.0,102.9,10.0,16.0,3.35,527.0,6,5,0.125,0.0,197.0,140.0,145,2.0,13.0,0.0,0.0,0.0,190.0,0.0,470.9,259.0,2e-10,1.5e-14,0.186842,0.0,424.0,209.0,0.0,0,250.0,135.0,1898.0,103,4.0,91.0,93.0,16.0,183.0,37.74040639,208.98243,10.0,2.0,527.0,2.0,0.0,4.0,0.0,14.0,6.0,2.0,30.0,1235.0,2.0,1.5,9196.0,1.4,6.8,183.0,2.0,31.0,0.0,6.0,1.5,8.414,2.0,1.9,2.0,8.414,208.942,6.0,159.707,119.78,2.8,3.09,220.5365,2.2,0.0,342.908,2.854,1.3,2.825,2.272,0.0,1.0,0.0,0.0,0.0,0.0,-9145.741393333332,-93238.8199,-5.621,-7.435244066666666,6.0
At,85,0.0,0.0,610.0,0.0,42.0,2.8,7.0,0.0,0.0,17.0,0.0,575.0,6,6,0.0,0.0,202.0,150.0,147,2.2,14.1,0.0,0.0,0.0,0.0,0.0,475.0,251.0,0.0,0.0,0.19131,0.0,351.0,210.0,0.0,0,247.0,138.0,1940.0,110,4.0,96.0,98.0,17.0,270.0,0.0,209.98715,10.0,2.0,575.0,2.2,0.0,5.0,0.0,14.0,6.0,1.0,31.0,0.0,1.0,0.0,0.0,1.5,6.0,270.0,2.2,40.0,0.0,7.0,0.0,9.3175,1.0,0.0,2.2,9.31751,209.987,7.0,161.43,121.073,2.8,3.09,307.6057,2.2,0.0,341.769,2.858,1.3,2.83,2.258,0.0,1.0,0.0,0.0,0.0,0.0,-9425.38726666667,-95890.4249,-6.6657,-9.177790700000001,6.0
Rn,86,0.0,0.0,211.4,4.4,35.0,0.0,8.0,18.1,0.0,18.0,0.0,202.0,6,2,0.094,0.0036,220.0,150.0,142,0.0,15.4,0.0,0.0,0.0,0.0,0.0,476.5,243.0,4e-13,6e-16,0.195772,240.0,408.0,222.0,0.0,0,243.0,145.0,1898.0,117,2.0,6.0,6.0,18.0,0.0,37887.79955,222.01758,10.0,2.0,202.0,0.0,0.0,6.0,0.0,14.0,6.0,0.0,32.0,211.3,0.0,0.202,9.73,1.5,5.3,0.0,0.0,26.0,145.0,0.0,0.202,10.7485,0.0,0.0,2.2,10.7485,222.0,8.0,151.497,113.623,2.5,3.09,413.4215,2.2,0.0,329.326,2.562,1.3,2.536,2.282,0.0,1.0,0.0,0.0,0.0,0.0,-9711.021839999998,-98595.6096,-7.7136,7.3142376166666665,6.0
Fr,87,0.0,0.0,950.0,0.0,317.8,0.486,1.0,0.0,15.0,1.0,0.0,300.0,7,3,0.0,0.0,348.0,260.0,223,0.7,0.0,0.0,0.0,0.0,0.0,0.0,490.0,364.0,0.0,0.0,0.08731,0.0,0.0,223.0,0.0,0,258.0,218.0,1939.0,6,2.4,7.0,7.0,1.0,47.0,0.0,223.01974,0.0,1.0,0.0,0.79,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,2.6,47.85,47.0,0.79,15.0,0.0,1.0,0.0,4.0727,1.0,0.0,0.7,4.0727409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ra,88,0.0,45.0,1413.0,5.5,246.0,0.1,2.0,113.0,9.6,2.0,0.0,973.0,7,4,0.12,0.0,283.0,221.0,201,0.9,0.0,159.0,0.0,0.0,215.0,0.0,367.7,327.0,9e-07,8.9e-11,0.09789,0.0,0.0,226.0,0.0,0,292.0,173.0,1898.0,10,4.0,13.0,13.0,2.0,10.0,75.05812023,226.02541,0.0,2.0,973.0,0.89,0.0,0.0,0.0,0.0,7.0,0.0,2.0,2010.0,0.0,1.66,5000.0,2.21,38.3,10.0,0.89,19.0,0.0,2.0,1.66,5.2784,0.0,2.15,0.9,5.278424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ac,89,188.0,22.54,3470.0,0.0,203.0,0.35,2.0,292.9,10.5,3.0,5.31,1320.0,7,10,0.0,0.0,247.0,215.0,186,1.1,0.0,406.0,0.0,0.0,195.0,0.0,347.8,308.0,5.5e-10,0.0,0.10033,280.0,0.0,227.0,0.0,0,293.0,153.0,1899.0,14,12.0,48.0,33.0,3.0,34.0,37.4330863,227.02775,1.0,2.0,1323.0,1.1,0.0,0.0,9.0,0.0,7.0,9.0,3.0,3473.0,1.0,4.25,10070.0,2.15,32.1,34.0,1.1,80.0,0.0,3.0,4.25,5.17,1.0,1.95,1.1,5.380226,227.028,11.0,172.351,129.263,2.9,2.9,813.5318,2.0,2.01,543.281,2.957,1.3,2.904,2.234,0.0,1.0,0.0,0.0,0.0,0.0,-9368.758358823528,-107058.254,-2.254,-10.2791912875,8.0
Th,90,180.0,19.8,5060.0,11.78,217.0,0.0,2.0,513.7,16.11,0.0,5.08,2028.0,7,10,0.113,0.0,245.0,206.0,175,1.3,0.0,602.0,0.0,0.0,180.0,240.0,339.6,274.0,9.6,1e-06,0.10277,293.0,0.0,232.0377,0.0004,0,289.0,143.0,1828.0,16,54.0,47.0,34.0,3.0,34.0,32.86568321,232.0377,2.0,2.0,2023.0,1.3,0.0,0.0,8.0,0.0,7.0,8.0,4.0,5093.0,2.0,6.2,11724.0,2.06,32.1,34.0,1.3,16.6,180.0,4.0,6.2,1.3,2.0,1.8,1.3,6.3067,232.039,12.0,247.306,185.48,2.8,3.0,984.7553,2.2,2.211,535.431,2.862,1.3,2.926,2.25,0.0,1.0,0.0,0.0,0.0,0.0,-9106.70677222222,-109990.1879,-1.2804,-11.5018868125,8.0
Pa,91,161.0,15.0,4300.0,15.37,154.0,0.0,2.0,481.2,16.7,0.0,3.92,2113.0,7,10,0.121,0.0,243.0,200.0,169,1.5,0.0,563.0,0.0,0.0,180.0,0.0,342.4,264.0,1.4e-06,5e-11,0.12149,288.0,0.0,231.03588,2e-05,True,285.0,138.0,1917.0,18,20.0,46.0,35.0,3.0,34.0,24.96116063,231.03588,1.0,2.0,1845.0,1.5,12.0,0.0,9.0,2.0,7.0,21.0,5.0,4273.0,3.0,0.0,15370.0,2.0,25.4,34.0,1.5,94.0,161.0,5.0,0.0,5.89,3.0,1.8,1.5,5.89,231.036,13.0,252.193,189.145,2.8,2.9,1180.0855,2.2,1.808,536.979,2.858,1.3,2.921,2.247,0.0,1.0,0.0,0.0,0.0,0.0,-9373.524311111112,-112985.519,-3.1149,-14.4860498625,8.0
U,92,138.0,12.5,4018.0,19.05,129.0,0.0,2.0,417.0,12.6,0.0,2.85,1405.5,7,10,0.115,27.5,241.0,196.0,170,1.7,0.0,533.0,0.0,0.0,175.0,230.0,339.5,252.0,2.7,0.0032,0.13207,271.0,0.0,238.02891,3e-05,0,283.0,134.0,1789.0,20,17.0,45.0,36.0,3.0,34.0,20.7488474,238.02891,1.0,2.0,1408.0,1.38,11.0,0.0,9.0,3.0,7.0,20.0,6.0,4200.0,4.0,5.55,19050.0,1.96,24.9,34.0,1.38,16.8,139.0,6.0,5.55,1.38,4.0,1.75,1.38,6.19405,238.029,14.0,252.502,189.376,2.8,3.0,1405.3058,2.2,1.811,526.41,2.863,1.3,2.95,2.27,0.0,1.0,0.0,0.0,0.0,0.0,-9641.935494444442,-116038.1941,-3.1039,-8.704798025,8.0
Np,93,130.0,21.1,4175.0,20.25,151.0,0.0,2.0,336.0,9.6,0.0,4.72,913.0,7,10,0.0,0.0,239.0,190.0,171,1.3,0.0,464.8,0.0,0.0,175.0,0.0,342.4,252.0,0.0,0.0,0.14265,282.0,0.0,237.0,0.0,0,280.0,136.0,1940.0,22,20.0,44.0,37.0,3.0,34.0,19.24483901,237.04817,1.0,2.0,917.0,1.36,10.0,0.0,9.0,4.0,7.0,19.0,7.0,4273.0,5.0,4.73,20450.0,1.9,24.8,34.0,1.36,18.0,140.0,7.0,4.73,6.2657,5.0,1.75,1.36,6.2655,237.048,15.0,254.26,190.695,2.8,3.0,1660.912,2.2,1.604,464.44,2.859,1.3,2.946,2.332,0.0,1.0,0.0,0.0,0.0,0.0,-9915.701022222223,-119153.8797,-3.0682,-9.399644912500001,8.0
Pu,94,151.0,0.0,3505.0,19.84,132.0,0.0,2.0,343.5,2.8,0.0,0.0,914.0,7,10,0.0,0.0,243.0,187.0,172,1.3,0.0,345.0,0.0,0.0,175.0,0.0,342.4,252.0,0.0,0.0,0.16137,281.0,0.0,244.0,0.0,0,278.0,135.0,1940.0,24,20.0,43.0,38.0,3.0,34.0,20.44716406,244.06421,0.0,2.0,913.0,1.28,8.0,0.0,0.0,6.0,7.0,8.0,8.0,3503.0,6.0,3.6,19816.0,1.87,24.5,34.0,1.28,16.0,151.0,8.0,3.6,6.026,6.0,1.75,1.28,6.0258,244.064,16.0,254.353,190.765,2.8,3.0,1948.5677,2.2,1.607,455.496,2.864,1.3,2.975,2.451,0.0,1.0,0.0,0.0,0.0,0.0,-10195.011527777777,-122334.3541,-3.0156,-10.0628809125,8.0
Am,95,173.0,20.8,2880.0,13.67,131.0,0.0,2.0,238.5,10.0,0.0,0.0,1267.0,7,10,0.0,0.0,244.0,180.0,166,0.0,0.0,284.0,0.0,0.0,175.0,0.0,338.1,0.0,0.0,0.0,0.17194,283.0,0.0,243.0,0.0,0,276.0,135.0,1945.0,26,25.0,42.0,39.0,3.0,34.0,29.51868508,243.06138,0.0,2.0,1449.0,1.3,7.0,0.0,0.0,7.0,7.0,7.0,9.0,2284.0,7.0,2.73,13670.0,1.8,23.3,34.0,1.3,16.0,140.0,9.0,2.73,5.9738,7.0,1.75,1.3,5.9738,243.061,17.0,255.875,191.906,2.8,3.0,2269.8918,2.2,1.605,456.748,2.86,1.3,2.971,2.409,0.0,1.0,0.0,0.0,0.0,0.0,-10480.056988888888,-125581.5403,-2.9507,-10.692652837499999,8.0
Cm,96,299.0,18.28,0.0,13.51,144.0,0.0,2.0,0.0,0.0,0.0,0.0,1340.0,7,10,0.0,0.0,245.0,169.0,166,0.0,0.0,386.0,0.0,0.0,0.0,0.0,332.6,0.0,0.0,0.0,0.17439,305.0,0.0,247.0,0.0,0,276.0,136.0,1944.0,28,25.0,41.0,40.0,3.0,34.0,30.35993609,247.07035,1.0,2.0,1618.0,1.3,7.0,0.0,9.0,7.0,7.0,16.0,10.0,3383.0,8.0,3.99,13510.0,1.69,23.0,34.0,1.3,16.0,0.0,10.0,3.99,5.9914,8.0,0.0,1.3,5.9914,247.0,18.0,257.953,193.465,2.8,2.8,2626.4675,1.8,1.6,397.588,2.853,1.3,2.802,2.481,0.0,1.0,0.0,0.0,0.0,0.0,-10771.01766111111,-128897.3988,-2.8766,-18.2761466,8.0
Bk,97,297.0,0.0,0.0,13.25,125.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7,10,0.0,0.0,244.0,0.0,168,0.0,0.0,310.0,0.0,0.0,0.0,0.0,333.9,0.0,0.0,0.0,0.19315,340.0,0.0,247.0,0.0,0,0.0,139.0,1949.0,30,25.0,40.0,41.0,3.0,34.0,27.75120004,247.07031,0.0,2.0,1323.0,1.3,5.0,0.0,0.0,9.0,7.0,5.0,11.0,0.0,5.0,0.0,14780.0,0.0,22.7,34.0,1.3,16.0,0.0,11.0,0.0,6.1979,5.0,0.0,1.3,6.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cf,98,295.0,0.0,0.0,15.1,122.0,0.0,2.0,0.0,0.0,0.0,0.0,900.0,7,10,0.0,0.0,245.0,0.0,168,0.0,0.0,196.0,0.0,0.0,0.0,0.0,331.3,0.0,0.0,0.0,0.20369,305.0,0.0,251.0,0.0,0,0.0,140.0,1950.0,32,20.0,39.0,42.0,3.0,34.0,27.60298332,251.07959,0.0,2.0,1173.0,1.3,4.0,0.0,0.0,10.0,7.0,4.0,12.0,0.0,4.0,0.0,15100.0,0.0,20.5,34.0,1.3,17.0,0.0,12.0,0.0,6.2817,4.0,0.0,1.3,6.2817,247.0,20.0,414.614,310.961,2.3,2.8,3451.576,1.8,1.6,583.717,2.355,1.3,2.312,2.048,0.0,1.0,0.0,0.0,0.0,0.0,-11371.451488888888,-135743.7252,-2.7087,-19.639617174999998,8.0
Es,99,292.0,0.0,1130.0,0.0,118.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7,10,0.0,0.0,245.0,0.0,165,0.0,0.0,133.0,0.0,0.0,0.0,0.0,329.9,0.0,0.0,0.0,0.21427,270.0,0.0,252.0,0.0,0,0.0,140.0,1952.0,34,20.0,38.0,43.0,3.0,34.0,0.0,252.083,0.0,2.0,1133.0,1.3,3.0,0.0,0.0,11.0,7.0,3.0,13.0,0.0,4.0,0.0,0.0,0.0,19.7,34.0,1.3,17.0,0.0,13.0,0.0,6.42,4.0,0.0,1.3,6.3676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fm,100,290.0,0.0,0.0,0.0,113.0,0.0,2.0,0.0,0.0,0.0,0.0,1800.0,7,10,0.0,0.0,245.0,0.0,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.6,0.0,0.0,0.0,0.22485,0.0,0.0,257.0,0.0,0,0.0,0.0,1953.0,36,20.0,37.0,44.0,3.0,34.0,0.0,257.09511,0.0,2.0,1800.0,1.3,2.0,0.0,0.0,12.0,7.0,2.0,14.0,0.0,2.0,0.0,0.0,0.0,23.8,34.0,1.3,17.0,0.0,14.0,0.0,6.5,2.0,0.0,1.3,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Md,101,287.0,0.0,0.0,0.0,109.0,0.0,2.0,0.0,0.0,0.0,0.0,1100.0,7,10,0.0,0.0,246.0,0.0,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.4,0.0,0.0,0.0,0.23542,0.0,0.0,258.0,0.0,0,0.0,139.0,1955.0,38,20.0,36.0,45.0,3.0,34.0,0.0,258.09843,0.0,2.0,1100.0,1.3,1.0,0.0,0.0,13.0,7.0,1.0,15.0,0.0,1.0,0.0,0.0,0.0,18.2,34.0,1.3,17.0,0.0,15.0,0.0,6.58,1.0,0.0,1.3,6.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No,102,285.0,0.0,0.0,0.0,110.0,0.0,2.0,0.0,0.0,0.0,0.0,1100.0,7,10,0.0,0.0,246.0,0.0,176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.8,0.0,0.0,0.0,0.246,0.0,0.0,259.0,0.0,0,0.0,0.0,1957.0,40,6.0,35.0,46.0,3.0,34.0,0.0,259.101,0.0,2.0,1100.0,1.3,0.0,0.0,0.0,14.0,7.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.4,34.0,1.3,18.0,0.0,2.0,0.0,6.65,0.0,0.0,1.3,6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lr,103,282.0,0.0,0.0,0.0,320.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7,8,0.0,0.0,246.0,0.0,161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.6,0.0,0.0,0.0,0.24844,0.0,0.0,262.0,0.0,0,0.0,141.0,1961.0,42,20.0,34.0,47.0,3.0,0.0,0.0,0.0,0.0,2.0,1900.0,0.0,0.0,1.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rf,104,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7,8,0.0,0.0,0.0,0.0,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,0,0.0,140.0,1969.0,46,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Db,105,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7,8,0.0,0.0,0.0,0.0,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0,0.0,136.0,1970.0,50,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sg,106,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,7,8,0.0,0.0,0.0,0.0,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,0.0,0,0.0,128.0,1974.0,54,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bh,107,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7,8,0.0,0.0,0.0,0.0,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0.0,0,0.0,128.0,1976.0,58,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hs,108,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7,8,0.0,0.0,0.0,0.0,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,0,0.0,125.0,1984.0,62,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mt,109,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,7,8,0.0,0.0,0.0,0.0,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0,0.0,125.0,1982.0,66,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ds,110,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,7,8,0.0,0.0,0.0,0.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,0,0.0,116.0,1994.0,70,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rg,111,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,7,8,0.0,0.0,0.0,0.0,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,0,0.0,116.0,1994.0,74,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cn,112,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,7,8,0.0,0.0,0.0,0.0,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,0.0,0,0.0,137.0,1996.0,80,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
